model,threshold,f1,mcc,recall,precision,cost
LogisticRegression,0.11,0.3804878048780488,0.37508599708026064,0.5735294117647058,0.2846715328467153,15480
LogisticRegression,0.12,0.3917525773195876,0.3828582038938366,0.5588235294117647,0.30158730158730157,15880
LogisticRegression,0.13,0.3850267379679144,0.37267420239903853,0.5294117647058824,0.3025210084033613,16830
LogisticRegression,0.14,0.4,0.38451079142364264,0.5147058823529411,0.32710280373831774,17220
LogisticRegression,0.15000000000000002,0.4166666666666667,0.400020511111267,0.5147058823529411,0.35,17150
LogisticRegression,0.16,0.42424242424242425,0.40714900578681146,0.5147058823529411,0.36082474226804123,17120
LogisticRegression,0.17,0.4276729559748428,0.4091580669900652,0.5,0.37362637362637363,17570
LogisticRegression,0.18000000000000002,0.4258064516129032,0.4063345101841374,0.4852941176470588,0.3793103448275862,18040
LogisticRegression,0.19,0.4189189189189189,0.3981583019229508,0.45588235294117646,0.3875,18990
LogisticRegression,0.2,0.4195804195804196,0.3986284844147522,0.4411764705882353,0.4,19450
LogisticRegression,0.21000000000000002,0.425531914893617,0.4048429279970551,0.4411764705882353,0.410958904109589,19430
LogisticRegression,0.22,0.425531914893617,0.4048429279970551,0.4411764705882353,0.410958904109589,19430
LogisticRegression,0.23,0.43795620437956206,0.41803654962794773,0.4411764705882353,0.43478260869565216,19390
LogisticRegression,0.24000000000000002,0.4090909090909091,0.38913570160458066,0.39705882352941174,0.421875,20870
LogisticRegression,0.25,0.4153846153846154,0.396240661019619,0.39705882352941174,0.43548387096774194,20850
LogisticRegression,0.26,0.38333333333333336,0.3681007782977904,0.3382352941176471,0.4423076923076923,22790
LogisticRegression,0.27,0.4,0.3897860457169068,0.3382352941176471,0.48936170212765956,22740
LogisticRegression,0.28,0.40350877192982454,0.39452500236810883,0.3382352941176471,0.5,22730
LogisticRegression,0.29000000000000004,0.3963963963963964,0.39066138657371474,0.3235294117647059,0.5116279069767442,23210
LogisticRegression,0.3,0.38181818181818183,0.3765964279911149,0.3088235294117647,0.5,23710
LogisticRegression,0.31,0.37383177570093457,0.3725960378974352,0.29411764705882354,0.5128205128205128,24190
LogisticRegression,0.32,0.38461538461538464,0.38963060492291607,0.29411764705882354,0.5555555555555556,24160
LogisticRegression,0.33,0.36,0.37185995467768246,0.2647058823529412,0.5625,25140
LogisticRegression,0.34,0.36363636363636365,0.3784734990718491,0.2647058823529412,0.5806451612903226,25130
LogisticRegression,0.35000000000000003,0.3673469387755102,0.3854037390748134,0.2647058823529412,0.6,25120
LogisticRegression,0.36000000000000004,0.35051546391752575,0.3695978969314407,0.25,0.5862068965517241,25620
LogisticRegression,0.37,0.3541666666666667,0.3768429743797694,0.25,0.6071428571428571,25610
LogisticRegression,0.38,0.35789473684210527,0.38447367715315056,0.25,0.6296296296296297,25600
LogisticRegression,0.39,0.3225806451612903,0.3513782405043905,0.22058823529411764,0.6,26600
LogisticRegression,0.4,0.3225806451612903,0.3513782405043905,0.22058823529411764,0.6,26600
LogisticRegression,0.41000000000000003,0.2857142857142857,0.31615848833772775,0.19117647058823528,0.5652173913043478,27600
LogisticRegression,0.42000000000000004,0.28888888888888886,0.3240816806364216,0.19117647058823528,0.5909090909090909,27590
LogisticRegression,0.43,0.28888888888888886,0.3240816806364216,0.19117647058823528,0.5909090909090909,27590
LogisticRegression,0.44,0.29213483146067415,0.33254463431519965,0.19117647058823528,0.6190476190476191,27580
LogisticRegression,0.45,0.29213483146067415,0.33254463431519965,0.19117647058823528,0.6190476190476191,27580
LogisticRegression,0.46,0.29545454545454547,0.34161355363133383,0.19117647058823528,0.65,27570
LogisticRegression,0.47000000000000003,0.29545454545454547,0.34161355363133383,0.19117647058823528,0.65,27570
LogisticRegression,0.48000000000000004,0.3058823529411765,0.3733169297175071,0.19117647058823528,0.7647058823529411,27540
LogisticRegression,0.49,0.3058823529411765,0.3733169297175071,0.19117647058823528,0.7647058823529411,27540
LogisticRegression,0.5,0.3058823529411765,0.3733169297175071,0.19117647058823528,0.7647058823529411,27540
LogisticRegression,0.51,0.26506024096385544,0.3354451996903336,0.16176470588235295,0.7333333333333333,28540
LogisticRegression,0.52,0.26506024096385544,0.3354451996903336,0.16176470588235295,0.7333333333333333,28540
LogisticRegression,0.53,0.26506024096385544,0.3354451996903336,0.16176470588235295,0.7333333333333333,28540
LogisticRegression,0.54,0.2682926829268293,0.3482564572966961,0.16176470588235295,0.7857142857142857,28530
LogisticRegression,0.55,0.2682926829268293,0.3482564572966961,0.16176470588235295,0.7857142857142857,28530
LogisticRegression,0.56,0.2716049382716049,0.36247914621046606,0.16176470588235295,0.8461538461538461,28520
LogisticRegression,0.5700000000000001,0.2716049382716049,0.36247914621046606,0.16176470588235295,0.8461538461538461,28520
LogisticRegression,0.5800000000000001,0.2716049382716049,0.36247914621046606,0.16176470588235295,0.8461538461538461,28520
LogisticRegression,0.59,0.2716049382716049,0.36247914621046606,0.16176470588235295,0.8461538461538461,28520
